,bytes,time
0,1,735.3333333333334
1,5001,217.11214953271028
2,10001,249.54945054945054
3,15001,358.7699115044248
4,20001,415.1807228915663
5,25001,571.8119658119658
6,30001,687.370786516854
7,35001,808.5333333333333
8,40001,804.0898876404494
9,45001,1056.625
10,50001,1346.4097222222222
11,55001,653.873417721519
12,60001,920.7422680412371
13,65001,1474.9468085106382
14,70001,2849.714285714286
15,75001,3756.7936507936506
16,80001,5683.302325581395
17,85001,6194.2531645569625
18,90001,8670.805309734513
