,bytes,time
0,1,1391.2533333333333
1,1001,789.8925619834711
2,2001,135.46391752577318
3,3001,221.85046728971963
4,4001,248.38
5,5001,261.02247191011236
6,6001,326.92660550458714
7,7001,258.35353535353534
8,8001,430.0485436893204
9,9001,516.6753246753246
