,bytes,time
0,256,0.32720327377319336
1,16256,2.460031747817993
2,100256,16.856433391571045
3,8256,0.7930541038513184
4,92256,15.51955533027649
5,84256,14.314294576644897
6,76256,13.683766841888428
7,68256,12.12210464477539
8,152256,19.250393867492676
9,4256,0.6088893413543701
10,60256,11.415539979934692
11,144256,19.349334716796875
12,104256,16.317787885665894
13,136256,17.97625994682312
14,44256,8.755435228347778
15,128256,18.208916664123535
16,36256,6.914519309997559
17,120256,17.72851800918579
18,28256,5.171893358230591
19,112256,17.249659299850464
20,20256,3.0407626628875732
21,56256,10.077120304107666
22,52256,10.36058259010315
23,96256,14.460253953933716
24,88256,14.992919921875
25,80256,14.173190593719482
26,72256,11.891133308410645
27,156256,20.39798331260681
28,64256,11.236737489700317
29,148256,18.930031061172485
30,12256,1.2264492511749268
31,140256,18.911887884140015
32,48256,9.50910472869873
33,132256,19.00159454345703
34,40256,7.591845273971558
35,124256,17.58616852760315
36,32256,5.364202260971069
37,116256,18.019754648208618
38,24256,3.9488348960876465
39,108256,16.850929021835327
