,bytes,time
0,1,732.2921348314607
1,5001,216.68316831683168
2,10001,296.9111111111111
3,15001,440.25
4,20001,522.7912087912088
5,25001,710.5794392523364
6,30001,736.1855670103092
7,35001,986.8514851485148
8,40001,1066.4756097560976
9,45001,1456.9901960784314
10,50001,1572.6666666666667
11,55001,1056.6565656565656
12,60001,1075.78125
13,65001,2159.443181818182
14,70001,4428.699115044248
15,75001,7315.433333333333
16,80001,10513.465346534653
17,85001,12864.702127659575
18,90001,17084.757575757576
19,95001,21541.80487804878
